Drugname	Unit Cost	Quantity	
Tamoxifen 20 mq tablet	11.31	"139,600"	
Tenofovir (as disoproxil fumarate) 300 mq tablet	5.83	"459,000"	
"Tenofovir + Lamivudine + Dolutegravir 300
mq +300 mg + 50 mg tablet"	6.39	"60,000,000"	
Traztusumab J50mq	"2,329.00"	"25,000"	
Traztusumab 600mq	"23,214.29"	"8,700"	
Valqanciclovir 450 mq tablet	87.51	"162,000"	
Valproates(Divalproex Sodium) 500 mq ER tablet	7.74	"1,200,000"	
"Valproic Acid 250 mq/5 mL, 120 mL syrup"	159.40	"150,000"	
"Vitamin A - \00,000 IU"	1.34	"1,850,000"	
"Vitamin A -200,000 IU"	1.37	"25,240,000"	
Vitamin B Complex 100 mq BI + 5 mq B6 + 50 mcq B12 tablet	0.62	"1,000,000"	
